host,interface,admin_status,oper_status,description,mac address,vlan
SLON11AC01,Tw4/0/18,up,up,End-User port,00be.4356.8f86,1111
SLON11AC01,Tw4/0/27,up,up,End-User port,00be.4356.923c,1111
SLON11AC01,Tw2/0/26,up,up,End-User port,00be.4356.9586,1111
SLON11AC01,Tw3/0/30,up,up,End-User port,00be.4356.96be,1111
SLON11AC01,Te3/0/42,up,up,End-User port,00be.4356.97ea,1111
SLON11AC01,Tw4/0/25,up,up,End-User port,00be.4356.97f2,1111
SLON11AC01,Tw1/0/9,up,up,End-User port,0892.0477.ad2b,1111
SLON11AC01,Tw1/0/11,,,,0892.0477.aeb7,1111
SLON11AC01,Tw3/0/35,up,up,End-User port,2800.af05.69e9,1111
SLON11AC01,Tw4/0/23,up,up,End-User port,2800.af1a.a48f,1111
SLON11AC01,Te4/0/37,up,up,End-User port,2800.af24.5fce,1111
SLON11AC01,Tw4/0/9,up,up,End-User port,2800.af2c.9daf,1111
SLON11AC01,Tw2/0/11,up,up,End-User port,2800.af2c.9f26,1111
SLON11AC01,Tw3/0/1,up,up,End-User port,2800.af2c.9fc3,1111
SLON11AC01,Tw2/0/6,up,up,End-User port,2800.af2c.a08f,1111
SLON11AC01,Tw3/0/28,up,up,End-User port,2800.af2c.a27e,1111
SLON11AC01,Tw1/0/22,up,up,End-User port,2800.af37.b475,1111
SLON11AC01,Tw4/0/31,up,up,End-User port,3814.28fd.37e5,1111
SLON11AC01,Tw2/0/35,up,up,End-User port,a029.198b.83a9,1111
SLON11AC01,Tw3/0/20,up,up,End-User port,a029.198f.df13,1111
SLON11AC01,Tw3/0/27,up,up,End-User port,a029.198f.df9c,1111
SLON11AC01,Te1/0/48,up,up,End-User port,ac91.a1c4.5ee1,1111
SLON11AC01,Tw4/0/7,up,up,End-User port,ac91.a1c8.9dab,1111
SLON11AC01,Tw1/0/30,up,up,End-User port,ac91.a1c8.9e2f,1111
SLON11AC01,Tw2/0/30,up,up,End-User port,c025.a56f.d314,1111
SLON11AC01,Tw1/0/24,up,up,End-User port,c047.0e66.1249,1111
SLON11AC01,Tw1/0/26,up,up,End-User port,c047.0e66.1727,1111
SLON11AC01,Tw2/0/12,up,up,End-User port,c047.0e67.2ae3,1111
SLON11AC01,Tw1/0/10,up,up,End-User port,c047.0e71.7a0c,1111
SLON11AC01,Tw3/0/7,up,up,End-User port,c047.0e8f.44df,1111
SLON11AC01,Tw4/0/33,up,up,End-User port,c047.0e90.f381,1111
SLON11AC01,Te2/0/48,up,up,End-User port,c047.0e90.f596,1111
SLON11AC01,Te2/0/45,up,up,End-User port,c047.0e92.c97f,1111
SLON11AC01,Tw4/0/12,up,up,End-User port,c047.0e92.ca11,1111
SLON11AC01,Tw4/0/6,up,up,End-User port,c047.0e92.ca2f,1111
SLON11AC01,Te3/0/37,up,up,End-User port,c047.0e92.ca89,1111
SLON11AC01,Tw1/0/3,up,up,End-User port,c047.0e92.cb9c,1111
SLON11AC01,Tw3/0/2,up,up,End-User port,c047.0e92.ccc2,1111
SLON11AC01,Te2/0/44,up,up,End-User port,c047.0e92.cce3,1111
SLON11AC01,Tw4/0/30,up,up,End-User port,c047.0e92.ceca,1111
SLON11AC01,Tw3/0/29,up,up,End-User port,c047.0e92.cee5,1111
SLON11AC01,Tw1/0/31,up,up,End-User port,c047.0e92.cf10,1111
SLON11AC01,Te4/0/39,up,up,End-User port,c047.0e92.dfac,1111
SLON11AC01,Tw2/0/10,up,up,End-User port,c047.0e97.9fdd,1111
SLON11AC01,Tw1/0/21,up,up,End-User port,cc96.e5dc.0a44,1111
SLON11AC01,Tw4/0/20,up,up,End-User port,f4ee.08c0.378b,1111
SLON11AC01,Tw4/0/11,up,up,End-User port,f4ee.08c1.d941,1111
SLON11AC01,Tw3/0/24,up,up,End-User port,f4ee.08c2.2fcf,1111
SLON11AC01,Te1/0/39,up,up,WAP Port,105f.ad33.3b2d,1590
SLON11AC01,Te7/0/45,up,up,WAP Port,3005.05d0.7a69,1590
SLON11AC01,Te1/0/40,up,up,WAP Port,40c7.3c04.ca18,1590
SLON11AC01,Te1/0/40,up,up,WAP Port,40c7.3c07.b5a7,1590
SLON11AC01,Te1/0/37,up,up,WAP Port,40c7.3c07.ba2a,1590
SLON11AC01,Te1/0/43,up,up,WAP Port,44a3.bb0b.2cd7,1590
