host,interface,admin_status,oper_status,description,mac address,vlan
172.18.2.115,Tw2/0/13,,,,4825.6722.e960,1119
172.18.2.115,Te2/0/43,up,up,"""WAP Ports""",ac23.16e9.5835,1119
172.18.2.115,Vl1900,up,up,SWTC19AC15_MGMT,6879.0929.27cf,1900
172.18.2.123,Tw3/0/31,up,up,"""TSA 19 Floor""",00e0.4cc3.4d44,2119
172.18.2.123,Po10,up,up,,00e0.4cc3.5025,2119
172.18.2.123,Tw5/0/2,up,up,"""TSA 19 Floor""",00e0.4cc3.50d5,2119
172.18.2.123,Po10,up,up,,00e0.4cc3.6222,2119
172.18.2.123,Te3/0/37,up,up,"""TSA 19 Floor""",00e0.4cc3.64da,2119
172.18.2.123,Tw5/0/12,up,up,"""TSA 19 Floor""",00e0.4cc5.93e9,2119
172.18.2.123,Tw4/0/3,up,up,"""TSA 19 Floor""",00e0.4cc5.9670,2119
172.18.2.123,Tw6/0/1,up,up,"""TSA 19 Floor""",00e0.4cc5.96b0,2119
172.18.2.123,Tw2/0/15,,,,1c7d.224a.1bbb,2119
172.18.2.123,Po10,up,up,,a0ce.c812.37d1,2119
172.18.2.123,Tw4/0/4,up,up,"""TSA 19 Floor""",a0ce.c815.2296,2119
172.18.2.123,Te1/0/47,up,up,"""WAP Ports""",ac23.16e9.5204,2119
172.18.2.123,Tw5/0/10,up,up,"""TSA 19 Floor""",acb4.80af.a1fd,2119
172.18.2.123,Tw5/0/27,,,,acb4.80fc.f420,2119
172.18.2.123,Tw4/0/5,up,up,"""TSA 19 Floor""",b4e9.b8f6.4cca,2119
172.18.2.123,Tw5/0/35,up,up,"""TSA 19 Floor""",b4e9.b8f6.4d35,2119
172.18.2.123,Tw5/0/31,up,up,"""TSA 19 Floor""",b4e9.b8f6.4d57,2119
172.18.2.123,Tw6/0/8,,,,d4a2.cd2c.d80b,2119
172.18.2.123,Tw3/0/20,up,up,"""DATA - Wired - 802.1x""",d4a2.cd2d.0de8,2119
172.18.2.123,Tw5/0/32,up,up,"""TSA 19 Floor""",d4a2.cd31.03c6,2119
172.18.2.123,Te5/0/37,up,up,"""TSA 19 Floor""",d4a2.cd39.06d1,2119
172.18.2.123,Tw4/0/36,up,up,"""TSA 19 Floor""",d4a2.cd39.0b54,2119
172.18.2.123,Tw4/0/28,up,up,"""TSA 19 Floor""",d4a2.cd39.0b55,2119
172.18.2.123,Te5/0/44,up,up,"""TSA 19 Floor""",d4a2.cd39.0b56,2119
172.18.2.123,Tw5/0/24,up,up,"""TSA 19 Floor""",d4a2.cd39.0bda,2119
172.18.2.123,Tw4/0/32,up,up,"""TSA 19 Floor""",d4a2.cd39.0d68,2119
172.18.2.123,Tw3/0/1,up,up,"""TSA 19 Floor""",d4a2.cd39.0d6e,2119
172.18.2.123,Te5/0/42,up,up,"""TSA 19 Floor""",d4a2.cd39.39b7,2119
172.18.2.123,Tw5/0/22,up,up,"""TSA 19 Floor""",d4a2.cd39.39e2,2119
172.18.2.123,Tw6/0/29,up,up,"""DATA - Wired - 802.1x""",e430.224a.9eb6,2119
172.18.2.123,Tw6/0/33,up,up,"""DATA - Wired - 802.1x""",e430.2251.9c1d,2119
172.18.2.123,Te1/0/44,up,up,"""AV - Wired - 802.1x""",c463.fb0d.d3a1,2819
172.18.2.123,Te2/0/41,up,up,"""AV - Wired - 802.1x""",c463.fb19.12c3,2819
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,021c.a9c2.5b86,3290
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,0a2b.0481.6849,3290
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,1626.00b4.7848,3290
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,1a88.90ad.f011,3290
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,1aea.05a8.821b,3290
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,1e76.0332.ebd2,3290
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,2677.ef15.caa5,3290
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,26dc.e4a4.bf1c,3290
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,32ba.e5cf.bbd1,3290
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,3a52.724a.79d7,3290
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,3aa9.3b2d.91b1,3290
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,3eb4.707d.fac8,3290
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,428c.f825.892b,3290
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,46eb.637f.cfda,3290
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,5243.995b.ea79,3290
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,72ed.c628.0286,3290
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,7e68.70c4.ca53,3290
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,926f.974a.abe2,3290
