device_name,ip_address,serial_number,alive
TSHA10TS01,172.25.74.1,,yes
TWTC19TS01,172.25.0.4,,yes
TLON15TS01,172.25.6.8,,yes
TLON15TS02,172.25.6.9,,yes
TWTC19TS04,172.25.0.36,0520330363,yes
TTTO15TS01,10.3.128.18,0530000531,yes
TLON16TS01,172.25.6.10,,yes
TWTC19TS03,172.25.0.31,0520194756,yes
TWTC20TS01,172.25.0.17,0520195022,yes
TWTC20TS02,172.25.0.18,0520195028,yes
TWTC21TS01,172.25.0.19,0520195036,yes
TTOK21TS01,172.25.7.148,,yes
TTOK22TS01,172.25.7.134,,yes
TWTC21TS02,172.25.0.20,0520195015,yes
TLON16TS02,172.25.6.11,,yes
TWTC22TS01,172.25.0.21,0520195462,yes
TWTC22TS02,172.25.0.22,0520195031,yes
TWTC23TS01,172.25.0.23,0520195029,yes
TWTC23TS02,172.25.0.24,0520194736,yes
TWTC24TS01,172.25.0.25,0520195460,yes
TTOR14TS01,172.25.8.1,,yes
TWTC24TS02,172.25.0.26,0520186578,yes
TWTC50TS01,172.25.0.37,0520142931,yes
TWTC50TS02,172.25.0.38,0520154899,yes
TWTC25TS01,172.25.0.27,,yes
TWTC51TS01,172.25.0.39,0520154896,yes
TWTC25TS02,172.25.0.28,0520195017,yes
TSTN07TS01,172.25.100.1,,yes
TWTC26TS01,172.25.0.29,0520195020,yes
TWTC26TS02,172.25.0.30,0520195016,yes
TWTC52TS01,172.25.0.42,0530024984,yes
TWTC52TS02,172.25.0.43,0520001838,yes
TWTC51TS02,172.25.0.40,,no SSH and yes ICMP
