device_name,ip_address,serial_number
TWTC50TS02,172.25.0.38,0520154899
TWTC51TS01,172.25.0.39,0520154896
TWTC23TS02,172.25.0.24,
TWTC25TS02,172.25.0.28,0520195017
TSTN07TS01,172.25.100.1,
TWTC26TS01,172.25.0.29,0520195020
TWTC26TS02,172.25.0.30,0520195016
TWTC52TS01,172.25.0.42,0530024984
TWTC52TS02,172.25.0.43,0520001838
TWTC51TS02,172.25.0.40,
